l0,l1,l2,cycle,dsp,ii
8,1,4,68719476781,160,32
1,16,1048578,160
2,8,2097154,160
4,4,4194306,160
1,4,16,1073741837,320,1
1,8,8,1073741837,320,1
1,16,4,4294967309,104,4
2,2,16,2147483668,160,2
2,4,8,2147483668,160,2
2,8,4,4294967317,104,4
4,1,16,4294967330,80,4
4,2,8,4294967330,80,4
4,4,4,4294967333,80,4
8,1,8,8589934654,52,8
8,2,4,8589934657,52,8
1,2,16,2147483661,160,1
1,4,8,2147483661,160,1
1,8,4,8589934605,104,4
2,1,16,4294967316,80,2
2,2,8,4294967316,104,2
2,4,4,8589934613,104,4
4,1,8,8589934626,52,4
4,2,4,8589934629,52,4
8,1,4,17179869249,52,8
1,1,16,833257218050,104,203431938
1,2,8,4294967309,104,1
1,4,4,17179869197,104,4
2,1,8,8589934612,104,2
2,2,4,17179869205,104,4
4,1,4,17179869221,52,4
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
4,1,4,17179869222,32,4
1,4,16,1073741841,368,1
1,8,8,8589934609,160,8
1,16,4,4294967313,160,4
2,2,16,1073741846,416,1
2,4,8,8589934614,160,8
2,8,4,4294967318,160,4
4,1,16,1073741856,512,1
4,2,8,8589934624,160,8
4,4,4,4294967328,160,4
8,1,8,8589934644,160,8
8,2,4,4294967348,160,4
1,16,1048578,160
2,8,2097154,160
4,4,4194306,160
1,4,16,1073741837,320,1
1,8,8,8589934605,208,8
1,16,4,4294967309,208,4
2,2,16,1073741842,320,1
2,4,8,8589934610,208,8
2,8,4,4294967314,208,4
4,1,16,1073741852,320,1
4,2,8,8589934620,104,8
4,4,4,4294967324,104,4
8,1,8,8589934640,104,8
8,2,4,4294967344,104,4
1,2,16,2147483661,208,1
1,4,8,17179869197,208,8
1,8,4,8589934605,208,4
2,1,16,2147483666,208,1
2,2,8,17179869202,208,8
2,4,4,8589934610,208,4
4,1,8,17179869212,104,8
4,2,4,8589934620,104,4
8,1,4,8589934640,104,4
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
2,1,16,2147483670,256,1
2,2,8,2147483670,208,1
2,4,4,2147483670,184,1
4,1,8,2147483680,256,1
4,2,4,2147483680,208,1
8,1,4,2147483700,256,1
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,1073741846,416,1
2,4,8,1073741846,368,1
2,8,4,4294967318,160,4
2,16,2,2147483670,166,2
4,1,16,1073741856,512,1
4,2,8,1073741856,416,1
4,4,4,4294967328,160,4
4,8,2,2147483680,172,2
4,16,1,20401095440,160,19
8,1,8,1073741876,512,1
8,2,4,4294967348,160,4
8,4,2,2147483700,184,2
8,8,1,16106128276,160,15
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,8589934609,160,4
1,16,2,4294967313,160,2
2,1,16,2147483670,256,1
2,2,8,2147483670,208,1
2,4,4,8589934614,160,4
2,8,2,4294967318,160,2
2,16,1,36507222286,160,17
4,1,8,2147483680,256,1
4,2,4,8589934624,160,4
4,4,2,4294967328,160,2
4,8,1,23622320528,160,11
8,1,4,8589934644,160,4
8,2,2,4294967348,160,2
8,4,1,23622320598,160,11
