l0,l1,cycle,dsp,ii
2,4,8,2147483672,172,2
2,8,4,2147483672,184,2
2,16,2,2147483672,208,2
4,1,16,4294967334,83,4
4,2,8,4294967334,86,4
4,4,4,4294967334,92,4
4,8,2,4294967334,104,4
8,1,8,8589934658,43,8
8,2,4,8589934658,46,8
8,4,2,8589934658,52,8
1,1,16,1108135124994,5,270540802
4,16,262152,224
2,16,524296,166
4,8,4194312,83
1,16,1048584,166
2,8,8388616,166
4,4,4194312,83
1,4,16,1073741841,332,1
1,8,8,1073741841,344,1
1,16,4,1073741841,368,1
2,2,16,2147483672,166,2
2,4,8,2147483672,172,2
2,8,4,2147483672,184,2
2,16,2,2147483672,208,2
4,1,16,4294967334,83,4
4,2,8,4294967334,86,4
4,4,4,4294967334,92,4
4,8,2,4294967334,104,4
8,1,8,8589934658,43,8
8,2,4,8589934658,46,8
8,4,2,8589934658,52,8
1,1,16,1108135124994,5,270540802
1,32,524296,100
2,16,524296,100
4,8,524296,112
8,4,2097160,43
1,16,1048584,52
2,8,1048584,86
4,4,4194312,43
1,2,16,2147483665,166,1
1,4,8,2147483665,172,1
1,8,4,2147483665,184,1
1,16,2,2147483665,208,1
2,1,16,4294967320,83,2
2,2,8,4294967320,86,2
2,4,4,4294967320,92,2
2,8,2,4294967320,104,2
4,1,8,8589934630,43,4
4,2,4,8589934630,46,4
4,4,2,8589934630,52,4
8,1,4,17179869250,23,8
8,2,2,17179869250,26,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,86,1
1,4,4,4294967313,92,1
1,8,2,4294967313,104,1
2,1,8,8589934616,43,2
2,2,4,8589934616,46,2
2,4,2,8589934616,52,2
4,1,4,17179869222,23,4
4,2,2,17179869222,26,4
8,1,2,34359738434,13,8
1,64,262152,196
2,32,262152,196
4,16,262152,224
8,8,2097160,83
16,4,1048584,83
1,32,524296,100
2,16,524296,166
4,8,4194312,83
8,4,2097160,83
1,16,1048584,166
2,8,8388616,166
4,4,4194312,83
1,4,16,1073741841,332,1
1,8,8,1073741841,344,1
1,16,4,1073741841,368,1
2,2,16,2147483672,166,2
2,4,8,2147483672,172,2
2,8,4,2147483672,184,2
2,16,2,2147483672,208,2
4,1,16,4294967334,83,4
4,2,8,4294967334,86,4
4,4,4,4294967334,92,4
4,8,2,4294967334,104,4
8,1,8,8589934658,43,8
8,2,4,8589934658,46,8
8,4,2,8589934658,52,8
1,2,16,2147483665,166,1
1,4,8,2147483665,172,1
1,8,4,2147483665,184,1
1,16,2,2147483665,208,1
2,1,16,4294967320,83,2
2,2,8,4294967320,86,2
2,4,4,4294967320,92,2
2,8,2,4294967320,104,2
4,1,8,8589934630,43,4
4,2,4,8589934630,46,4
4,4,2,8589934630,52,4
8,1,4,17179869250,23,8
8,2,2,17179869250,26,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,86,1
1,4,4,4294967313,92,1
1,8,2,4294967313,104,1
2,1,8,8589934616,43,2
2,2,4,8589934616,46,2
2,4,2,8589934616,52,2
4,1,4,17179869222,23,4
4,2,2,17179869222,26,4
8,1,2,34359738434,13,8
1,32,524296,100
2,16,524296,166
4,8,4194312,83
8,4,2097160,83
1,16,1048584,166
2,8,8388616,166
4,4,4194312,83
1,2,16,2147483665,166,1
1,4,8,2147483665,172,1
1,8,4,2147483665,184,1
1,16,2,2147483665,208,1
2,1,16,4294967320,83,2
2,2,8,4294967320,86,2
2,4,4,4294967320,92,2
2,8,2,4294967320,104,2
4,1,8,8589934630,43,4
4,2,4,8589934630,46,4
4,4,2,8589934630,52,4
8,1,4,17179869250,23,8
8,2,2,17179869250,26,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,86,1
1,4,4,4294967313,92,1
1,8,2,4294967313,104,1
2,1,8,8589934616,43,2
2,2,4,8589934616,46,2
2,4,2,8589934616,52,2
4,1,4,17179869222,23,4
4,2,2,17179869222,26,4
8,1,2,34359738434,13,8
1,32,524296,100
2,16,524296,166
4,8,4194312,83
8,4,2097160,83
1,16,1048584,166
2,8,8388616,166
4,4,4194312,83
1,2,16,2147483665,166,1
1,4,8,2147483665,172,1
1,8,4,2147483665,184,1
1,16,2,2147483665,208,1
2,1,16,4294967320,83,2
2,2,8,4294967320,86,2
2,4,4,4294967320,92,2
2,8,2,4294967320,104,2
4,1,8,8589934630,43,4
4,2,4,8589934630,46,4
4,4,2,8589934630,52,4
8,1,4,17179869250,23,8
8,2,2,17179869250,26,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,86,1
1,4,4,4294967313,92,1
1,8,2,4294967313,104,1
2,1,8,8589934616,43,2
